PE1;PE2;PE3;PE4;EE1;EE2;EE3;EE4;SI1;SI2;SI3;SI4;FC1;FC2;FC3;FC4;HM1;HM2;HM3;HM4; PV1; PV2;PV3;PV4;H1;H2;H3;H4;PR1;PR2;PR3;PR4;PR5;BI1;BI2;BI3;BI4;UB1;UB2;UB3;UB4
1;4;1;2;5;5;5;5;3;3;2;3;5;5;5;5;3;1;1;2;3;3;3;3;1;1;1;1;4;5;4;4;4;1;2;1;1;1;1;1;1
4;5;2;3;4;4;4;4;3;3;4;4;5;5;5;4;4;5;2;4;2;2;3;3;3;3;3;2;4;5;4;4;3;3;4;2;4;3;4;3;4
5;5;5;5;5;5;5;5;4;3;3;4;4;5;5;5;5;3;5;5;5;3;4;4;5;5;5;5;3;5;4;5;4;5;5;5;5;5;5;5;5
5;5;3;3;5;5;5;5;3;3;4;4;4;5;4;3;5;4;5;5;3;3;4;4;5;5;5;5;5;5;5;3;2;5;5;3;5;5;5;3;3
4;5;3;4;5;5;4;4;3;3;3;2;5;4;5;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;5;5;4;4;3;4;4;4;4;4;3
4;4;4;4;5;5;5;5;3;3;4;3;4;4;4;4;3;3;4;4;2;2;2;2;3;4;4;4;3;3;3;3;3;4;3;4;4;4;4;4;3
4;5;4;5;4;5;4;4;4;4;4;5;4;3;5;4;4;2;4;4;2;2;2;4;4;5;4;5;4;4;5;2;3;4;2;3;4;4;2;4;3
5;4;5;5;5;5;5;5;3;1;3;1;5;5;5;5;3;4;5;5;2;1;1;1;4;4;4;4;1;1;2;2;2;4;4;3;4;3;5;4;2
4;2;5;4;4;4;4;4;3;4;4;2;5;5;5;3;2;2;5;3;1;2;3;2;1;1;2;1;2;2;3;2;2;3;3;3;2;3;3;4;3
5;4;5;5;5;5;5;5;5;5;5;3;5;5;5;4;5;5;5;5;3;3;3;3;5;5;5;5;1;2;4;4;1;5;5;5;5;5;5;5;5
4;4;4;4;4;4;3;4;4;3;5;3;4;4;3;4;4;5;3;3;3;4;4;4;5;4;4;4;3;3;2;2;3;4;3;4;3;4;4;4;4
4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4
4;5;3;4;5;5;5;5;3;3;3;3;5;5;5;5;4;5;4;5;3;3;3;4;4;4;4;4;5;5;3;4;5;4;3;4;5;4;5;5;5
5;5;4;4;4;4;4;5;5;4;5;3;4;4;4;4;3;4;5;4;4;4;5;4;4;3;4;4;4;4;4;3;4;4;4;4;5;4;4;4;4
4;5;5;4;5;5;4;5;4;5;4;5;4;5;5;4;4;5;5;4;3;4;4;5;4;5;5;4;2;1;1;1;2;4;4;5;5;4;5;5;5
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;5;5;5;5;5;5;5;5
4;5;4;4;5;5;5;5;5;4;4;4;4;5;5;5;5;5;4;4;4;4;5;4;4;4;4;4;4;5;3;4;3;4;3;4;4;5;5;4;4
4;5;4;5;4;4;5;5;4;4;4;4;4;4;5;5;5;4;5;5;4;4;4;4;5;5;4;4;2;2;2;2;2;5;5;5;5;4;5;5;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;5;1;5;5;5;5;5;5;5;5
5;5;4;4;4;5;4;4;2;1;2;1;3;4;4;4;4;4;4;5;3;4;3;3;4;3;4;4;2;2;2;2;2;4;3;5;3;4;3;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;5;5;5;5;5;5;5;5
5;5;4;5;5;5;5;5;4;3;3;3;5;5;5;5;5;3;4;5;3;4;4;4;5;5;5;5;3;4;3;2;3;5;3;4;5;5;5;5;5
4;5;4;4;4;4;4;4;4;3;4;3;4;4;4;3;4;4;4;4;3;3;3;3;4;4;4;4;5;4;4;4;4;4;4;4;4;4;3;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5;4;5;5;5;4;5;5;4;5;5;4;5;5;5;4;4;5;4;5
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;5;4;4;4;4;2;2;2;2;2;4;4;4;4;4;4;4;4
4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;3;3;3;5;3;5;5;5;5;5;5;5;5
5;4;4;4;5;5;5;4;5;5;4;5;5;5;4;4;5;5;4;4;5;4;4;5;5;4;4;4;5;4;4;4;5;5;5;4;4;5;5;5;4
5;5;5;5;4;5;5;4;5;5;5;5;5;4;5;4;5;5;5;5;4;4;4;4;4;4;4;4;3;3;4;3;3;4;4;4;4;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;1;1;1;1;1;5;5;5;5;3;3;3;3
5;5;5;5;4;4;5;5;4;5;4;4;4;4;4;5;4;5;5;5;4;4;4;4;5;5;5;5;2;2;2;2;2;5;5;5;4;4;4;4;5
5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;2;2;2;2;2;5;5;5;5;5;5;5;5
3;3;3;4;3;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;3;4;3;4;5;4;4;4;3;3;2;3;2;4;4;4;4;4;4;4;4
5;5;5;5;4;5;5;5;4;5;4;4;4;4;4;4;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;4;5;4
4;4;5;5;4;5;5;5;5;4;4;4;4;4;4;4;5;5;5;5;4;5;5;4;5;5;5;5;3;3;2;3;4;5;5;5;5;4;5;5;4
5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;5;5;4;5;4;5;5;5;4;4;5;5;4;5;4;5;5;4;5;4;4;5;5;5;4;5;5;4;5;4;5;5;5;4;5;5;4;5;4;4
5;5;4;4;5;4;5;5;5;4;4;4;5;4;5;4;5;5;4;5;4;4;3;4;5;5;5;5;2;2;3;2;2;5;4;4;5;5;4;4;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;4;3;5;5;5;5;5;5;5;5;2;2;5;2;5;5;5;5;1;1;1;1;1;5;5;5;5;5;5;5;5
5;5;5;5;4;4;4;5;4;4;3;2;5;4;5;4;5;4;5;5;4;5;2;5;4;4;3;3;2;1;2;3;2;5;4;5;5;3;3;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;3;3;2;2;3;3;4;5;5;5;5;5;5
4;5;5;5;4;4;5;4;3;4;5;3;4;4;4;4;3;4;5;3;4;3;4;3;4;3;4;3;2;4;5;4;3;4;3;4;4;4;3;4;4
5;5;3;4;4;5;5;4;3;3;3;3;4;4;4;4;4;3;4;4;3;3;3;4;3;3;3;4;5;5;4;5;5;4;3;3;3;2;2;2;2
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;5;3;5;5;5;5;2;2;2;2;2;5;5;5;5;5;5;5;5
5;5;5;4;5;5;5;5;4;4;5;4;5;5;5;5;5;5;5;5;3;3;3;3;5;5;5;5;2;1;1;2;1;5;5;5;5;5;5;5;5
1;1;1;1;1;1;1;2;5;4;4;4;4;4;4;5;4;4;3;4;4;3;4;5;3;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;3;4;5;4;4;3;5;4;4;4;4;5;5;5;5;5;5;4;5;4;4;4;4;4
5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;4;4;5;5;5;5;5;4;4;4;4;4;5;5;5;5;5;5;5;5
4;5;5;5;4;4;4;4;5;4;4;5;5;5;4;5;4;5;5;4;4;4;5;4;3;4;4;4;4;4;4;4;4;5;5;5;5;2;2;2;2
5;5;4;4;5;4;5;5;4;4;5;5;4;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;4
5;5;4;4;5;5;5;5;2;3;3;3;5;5;5;5;5;2;3;4;3;4;3;4;4;4;4;3;5;5;5;5;5;3;2;2;2;5;4;4;4
5;5;4;4;5;5;4;5;3;4;4;3;4;5;5;5;5;3;1;3;5;5;3;5;3;1;2;2;5;5;2;5;5;2;2;2;3;3;3;3;3
4;3;4;4;4;4;4;4;3;3;4;3;4;4;4;3;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3
5;5;5;5;5;5;5;5;3;3;4;3;5;5;5;4;5;4;4;4;4;4;4;5;4;4;5;4;2;2;2;2;2;4;4;4;4;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4
5;5;3;5;5;5;5;5;3;3;4;3;5;5;5;5;5;5;5;5;3;4;4;4;5;5;5;5;2;3;2;4;4;5;5;5;5;5;5;5;5
4;4;4;4;3;3;3;3;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;3;3;3;3;3;3;3;3
4;4;3;2;4;5;1;3;4;5;2;4;4;5;3;4;3;5;4;4;4;5;3;4;4;4;4;4;4;5;4;5;4;5;4;5;4;5;4;3;4
4;5;5;5;4;4;5;5;4;5;5;3;5;4;5;4;5;5;4;5;3;5;3;5;5;5;5;3;2;2;1;1;2;5;3;5;5;4;5;5;5
5;5;4;5;4;2;5;4;4;4;4;2;5;4;5;2;3;3;2;3;2;2;2;2;4;4;5;5;4;5;3;5;5;4;3;1;4;4;2;4;4
4;3;3;3;3;4;3;3;4;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
5;4;4;4;4;4;5;5;4;4;4;5;5;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;2;2;2;2;2;4;4;4;4;3;4;4;4
5;5;4;5;5;4;4;5;4;4;5;4;4;5;5;5;4;5;4;4;5;4;4;4;4;5;5;4;2;2;1;1;1;5;5;5;5;4;5;5;4
5;5;5;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;5;5;5;4;2;2;2;2;2;4;5;5;5;3;2;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;4;5;4;5;2;1;2;1;1;5;5;5;5;5;4;5;5
4;5;5;4;4;5;5;4;4;4;5;5;5;4;4;5;4;5;5;4;5;3;3;2;4;4;4;3;3;3;4;4;5;3;4;4;5;5;4;3;5
3;4;3;4;2;4;2;3;2;4;3;4;3;4;2;4;3;3;3;3;3;4;2;3;4;2;3;3;3;1;2;3;3;3;2;3;3;2;3;4;1
4;5;5;4;5;5;4;4;5;3;4;4;5;4;5;4;4;3;5;5;5;3;4;4;3;5;5;4;4;5;3;4;5;4;5;3;5;3;4;5;4
5;5;5;5;4;5;5;5;4;4;4;4;4;4;4;4;4;5;5;4;4;4;3;4;4;4;4;4;2;3;3;2;3;4;4;4;4;4;4;4;4
4;4;4;4;4;4;4;4;3;4;4;3;4;4;4;3;4;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;3;3;4;3;3;3
5;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;5;5;4;4;4;5;4;5;4;4;4;5;4;5;4;5;4;4;4;4;5;5;5;4;4
4;5;4;5;3;5;4;5;5;4;3;5;5;4;5;3;5;4;3;5;5;3;5;3;5;4;5;3;5;5;4;5;4;5;4;5;3;5;4;5;4
4;4;5;5;4;5;5;4;4;5;5;5;5;5;5;5;4;4;5;5;4;4;5;3;5;5;4;4;2;2;2;3;3;4;4;5;5;4;4;4;5
4;4;3;4;4;3;2;3;2;4;3;3;4;3;5;3;3;4;2;3;2;2;3;2;2;1;2;1;5;5;5;5;5;3;2;3;4;2;1;2;1
5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;3;3;3;3;5;5;5;5;3;3;3;3;3;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;2;5;5;5;5;2;1;1;2;2;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;2;2;2;2;2;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;1;1;1;1;1;5;5;5;5;5;5;5;5
5;5;4;4;5;5;5;4;4;5;3;5;5;5;5;5;5;5;4;4;4;4;3;4;4;4;4;4;5;5;4;5;4;4;4;4;5;5;4;5;5
5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;4;5;5;5;5;4;4;4;4;5;5;5;5;3;3;4;3;3;4;4;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;3;4;3;5;5;5;5;5;4;5;5
5;4;3;4;3;4;4;3;3;4;3;3;5;3;4;3;4;5;4;4;3;5;3;4;5;3;2;3;4;4;3;3;2;4;4;2;4;4;2;2;1
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;5;4;4;4;4;4;4;4;4;1;1;1;1;1;4;4;4;4;4;4;4;4
4;5;5;4;4;5;4;4;4;4;4;5;5;5;4;5;4;5;4;5;4;4;5;4;4;5;4;4;2;1;2;2;1;4;5;4;4;5;5;4;5
4;4;3;3;4;4;4;4;3;3;3;3;4;4;4;3;4;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;3
5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;4;4;5;4;4;4;5;4;4;4;5;5;5;4;5;4;4;5;4
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;4;4;4;4;4;4;4;4
5;5;4;5;4;5;5;4;5;5;4;5;5;5;5;4;4;5;5;5;4;4;5;4;5;4;5;4;4;4;5;4;3;5;4;4;5;5;4;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;3;5;4;3;3;3;5;5;3;4
4;4;4;4;5;4;4;4;3;2;4;3;5;5;4;4;4;4;4;4;5;5;5;5;5;4;4;5;3;3;3;3;3;4;4;4;4;4;4;4;4
4;4;4;4;5;4;4;4;3;2;4;3;5;5;4;4;4;4;4;4;4;5;5;5;5;4;4;5;3;3;3;3;3;4;4;4;4;4;4;4;4
4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;4;3;3;3;3;4;4;3;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;1;1;1;1;1;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;3;5;5;5;5;5;2;2;3;2;1;5;5;5;5;5;5;5;5
4;4;5;5;4;4;4;4;3;3;3;3;5;4;4;4;4;5;5;4;4;4;5;4;3;4;4;4;3;3;3;3;3;4;4;4;4;4;4;5;5
4;5;5;4;4;5;5;5;4;5;4;4;4;5;5;5;5;5;5;4;4;5;4;5;5;4;4;4;4;4;5;5;4;4;4;5;5;4;5;5;5
5;5;4;4;5;5;5;5;5;4;4;5;4;5;5;5;5;5;4;5;3;4;4;4;5;4;5;5;4;5;5;4;4;5;4;5;5;5;4;5;4
5;5;5;5;5;4;5;4;4;4;5;5;5;5;5;4;5;5;4;5;4;3;4;4;5;5;5;5;4;5;5;4;4;5;4;5;5;5;4;3;4
5;5;5;5;5;4;4;5;3;4;4;4;5;5;4;4;4;4;4;4;3;3;4;3;4;4;4;4;3;3;3;4;4;4;3;3;3;4;3;3;3
4;4;4;4;3;4;4;4;2;2;4;2;4;4;3;4;4;4;5;4;4;4;3;5;3;3;3;4;4;4;3;2;2;3;3;3;4;2;2;2;2
4;5;3;4;5;5;5;5;2;2;2;2;4;5;5;4;4;3;4;4;3;3;4;3;5;4;3;3;4;4;4;4;4;4;5;3;4;4;2;2;3
5;5;4;4;5;4;4;5;4;5;4;5;4;5;4;4;5;5;5;5;3;4;4;3;4;4;5;4;4;4;5;4;4;4;5;4;4;4;5;4;4
4;3;5;4;4;4;3;4;4;4;4;4;4;4;4;4;4;5;5;4;3;3;4;4;4;5;5;4;3;3;4;4;3;5;4;5;4;5;5;4;4
4;4;4;4;4;4;5;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;3;4;4;4;4;4;4;4;4;4;4;4;4
5;4;5;4;5;4;5;4;5;4;5;4;5;4;5;4;5;4;5;4;5;4;5;4;5;4;5;4;1;2;4;2;1;5;4;5;4;5;4;5;4
4;5;4;5;5;5;4;5;5;5;4;5;4;4;5;5;5;5;5;5;4;5;5;4;5;5;5;5;5;4;4;4;5;5;4;5;4;4;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;1;2;2;4;4;5;4;4;4;4;4
4;5;3;4;5;5;5;5;3;4;3;3;5;5;5;5;5;5;3;4;4;4;3;3;3;3;3;3;4;4;4;4;4;3;3;2;3;3;3;4;2
4;5;4;5;4;4;5;4;4;5;5;4;4;5;4;5;4;5;4;4;3;4;5;3;4;5;4;5;4;5;4;5;5;4;5;4;5;4;4;5;5
5;4;5;4;4;4;4;4;5;4;3;4;4;4;4;4;5;4;5;5;4;5;3;4;4;5;4;5;5;5;2;5;3;4;4;3;4;4;5;5;4
5;5;5;5;5;5;5;5;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;4;4;4;5;5;5;5;4;4;4;4
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;3;3;4;4;4;4;4;4;4;4
4;5;4;5;4;4;4;4;3;3;4;4;4;4;4;5;5;4;4;4;3;3;4;3;4;5;5;5;3;3;3;4;3;4;4;4;4;5;4;4;4
3;4;3;3;3;4;3;3;3;4;3;3;4;3;3;4;4;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;4;4;3;3;3;3;3;3;3
5;5;5;5;4;4;5;4;5;4;5;4;4;5;4;5;5;5;5;5;4;4;3;4;5;4;4;3;4;4;3;3;3;4;4;5;4;4;4;5;3
5;5;5;5;5;5;5;5;3;3;3;3;5;4;5;3;5;4;5;5;1;1;5;2;4;4;4;4;2;1;5;5;4;5;4;4;5;4;2;4;4
4;5;4;4;4;4;5;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;5;5;5;5;5;5;5;5
5;5;5;5;4;5;4;4;2;2;2;1;5;4;4;5;1;4;5;2;2;4;4;5;4;4;4;4;2;1;1;1;1;5;4;4;4;4;4;4;4
5;5;5;5;4;4;5;5;5;5;5;1;2;4;5;5;4;5;5;4;4;4;4;4;5;5;4;5;4;4;4;4;5;4;2;3;4;3;3;4;4
5;5;3;4;4;4;4;4;3;3;3;3;4;4;4;4;5;4;5;4;2;2;4;2;4;5;4;4;4;5;4;4;4;4;3;4;4;4;4;4;4
4;4;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;3;4;3;3;3;4;3;3;3;4
5;5;5;5;5;5;5;5;3;3;3;3;5;5;5;5;4;4;4;4;3;3;4;3;4;4;5;4;4;4;5;4;4;5;4;4;4;5;5;5;5
4;5;4;5;4;3;4;3;4;4;5;4;5;4;5;3;4;4;4;4;3;3;4;4;4;5;4;4;2;2;3;3;3;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;4;5;5;5;5;4;4;4;4;5;4;4;5;4;4;2;4;4;5;5;5;5;4;4;2;4
